state_code,county_name,superfund_site_count
CA,SACRAMENTO,14
CA,SAN BENITO,3
CA,SAN BERNARDINO,93
CA,SAN DIEGO,68
CA,SAN FRANCISCO,15
CA,SAN JOAQUIN,11
CA,SAN LUIS OBISPO,4
CA,SAN MATEO,14
CA,SANTA BARBARA,9
CA,SANTA CLARA,63
CA,SANTA CRUZ,5
CA,SHASTA,12
CA,SIERRA,2
CA,SISKIYOU,10
CA,SOLANO,7
CA,SONOMA,19
CA,STANISLAUS,20
CA,SUTTER,3
CA,TRINITY,5
CA,TULARE,9
CA,TUOLUMNE,9
CA,VENTURA,17
CA,YOLO,8
CA,YUBA,2
CO, NOT DEFINED ,19
CO,ADAMS,16
CO,ALAMOSA,1
CO,ARAPAHOE,13
CO,BENT,3
CO,BOULDER,13
CO,CHAFFEE,6
CO,CLEAR CREEK,7
CO,CONEJOS,1
CO,CROWLEY,2
CO,DELTA,2
CO,DENVER,31
CO,DOLORES,1
CO,DOUGLAS,1
CO,EAGLE,5
CO,EL PASO,15
CO,ELBERT,1
CO,FREMONT,4
CO,GARFIELD,2
CO,GILPIN,2
CO,GRAND,2
CO,GUNNISON,6
CO,HUERFANO,2
CO,JACKSON,1
CO,JEFFERSON,16
CO,KIOWA,1
CO,LAKE,6
CO,LARIMER,16
CO,LAS ANIMAS,2
CO,MESA,8
CO,MINERAL,4
CO,MOFFAT,2
CO,MONTEZUMA,1
CO,MONTROSE,5
CO,MORGAN,1
CO,OTERO,8
CO,OURAY,6
CO,PARK,3
CO,PITKIN,2
CO,PUEBLO,5
CO,RIO BLANCO,1
CO,RIO GRANDE,2
CO,ROUTT,3
CO,SAGUACHE,6
CO,SAN JUAN,11
CO,SAN MIGUEL,12
CO,SUMMIT,9
CO,TELLER,2
CO,WELD,7
CT, NOT DEFINED ,10
CT,FAIRFIELD,55
CT,HARTFORD,67
CT,LITCHFIELD,13
CT,MIDDLESEX,14
CT,NEW HAVEN,65
CT,NEW LONDON,18
CT,TOLLAND,16
CT,WINDHAM,21
DC, NOT DEFINED ,2
DC,DISTRICT OF COLUMBIA,47
DC,WASHINGTON,1
DE, NOT DEFINED ,2
DE,KENT,10
DE,NEW CASTLE,34
DE,SUSSEX,20
FL, NOT DEFINED ,24
FL,ALACHUA,11
FL,BAKER,2
FL,BAY,5
FL,BREVARD,13
FL,BROWARD,42
FL,CALHOUN,1
FL,CITRUS,1
FL,CLAY,3
FL,COLLIER,2
FL,COLUMBIA,8
FL,DADE,1
FL,DESOTO,2
FL,DIXIE,5
FL,DUVAL,72
FL,ESCAMBIA,35
FL,FLAGLER,3
FL,FRANKLIN,2
FL,GADSDEN,2
FL,GULF,3
FL,HARDEE,1
FL,HIGHLANDS,3
FL,HILLSBOROUGH,81
FL,INDIAN RIVER,2
FL,JACKSON,8
FL,JEFFERSON,1
FL,LAFAYETTE,1
FL,LAKE,9
FL,LEE,2
FL,LEON,8
FL,LEVY,2
FL,MADISON,2
FL,MANATEE,8
FL,MARION,12
FL,MARTIN,5
FL,MIAMI DADE,69
FL,MONROE,4
FL,NASSAU,1
FL,OKALOOSA,7
FL,ORANGE,30
FL,OSCEOLA,3
FL,PALM BEACH,23
FL,PASCO,7
FL,PINELLAS,19
FL,POLK,32
FL,PUTNAM,5
FL,SANTA ROSA,6
FL,SARASOTA,11
FL,SEMINOLE,16
FL,ST JOHNS,2
FL,ST LUCIE,3
FL,SUMTER,3
FL,SUWANNEE,1
FL,TAYLOR,5
FL,VOLUSIA,9
FL,WAKULLA,3
FM, NOT DEFINED ,2
GA, NOT DEFINED ,25
GA,APPLING,2
GA,BACON,1
GA,BALDWIN,3
GA,BANKS,1
GA,BARROW,3
GA,BARTOW,9
GA,BERRIEN,1
GA,BIBB,17
GA,BULLOCH,1
GA,BURKE,3
GA,BUTTS,1
GA,CAMDEN,2
GA,CARROLL,6
GA,CATOOSA,3
GA,CHATHAM,23
GA,CHATTOOGA,1
GA,CHEROKEE,11
GA,CLARKE,7
GA,CLAYTON,7
GA,CLINCH,6
GA,COBB,31
GA,COFFEE,1
GA,COLUMBIA,1
GA,COOK,1
GA,COWETA,6
GA,CRISP,1
GA,DAWSON,4
GA,DECATUR,5
GA,DEKALB,30
GA,DODGE,2
GA,DOOLY,1
GA,DOUGHERTY,10
GA,DOUGLAS,13
GA,EARLY,10
GA,EFFINGHAM,1
GA,ELBERT,1
GA,EMANUEL,3
GA,FANNIN,1
GA,FAYETTE,5
GA,FLOYD,12
GA,FORSYTH,6
GA,FRANKLIN,2
GA,FULTON,110
GA,GILMER,3
GA,GLYNN,17
GA,GORDON,6
GA,GREENE,1
GA,GWINNETT,18
GA,HABERSHAM,1
GA,HALL,7
GA,HART,1
GA,HEARD,1
GA,HENRY,6
GA,HOUSTON,4
GA,JACKSON,5
GA,JEFF DAVIS,1
GA,JEFFERSON,3
GA,JONES,2
GA,LAMAR,1
GA,LAURENS,1
GA,LEE,1
GA,LIBERTY,6
GA,LINCOLN,1
GA,LONG,1
GA,LOWNDES,8
GA,LUMPKIN,7
GA,MACON,1
GA,MCDUFFIE,1
GA,MCINTOSH,1
GA,MERIWETHER,1
GA,MITCHELL,2
GA,MONROE,3
GA,MURRAY,2
GA,MUSCOGEE,7
GA,NEWTON,2
GA,OGLETHORPE,4
GA,PEACH,16
GA,PICKENS,2
GA,PIERCE,1
GA,PIKE,1
GA,POLK,8
GA,RICHMOND,21
GA,ROCKDALE,5
GA,SCHLEY,1
GA,SCREVEN,2
GA,SPALDING,4
GA,STEPHENS,1
GA,SUMTER,5
GA,TERRELL,2
GA,THOMAS,2
GA,TIFT,6
GA,TOOMBS,2
GA,TROUP,5
GA,TURNER,2
GA,UNION,3
GA,UPSON,3
GA,WALKER,11
GA,WALTON,5
GA,WARE,3
GA,WASHINGTON,3
GA,WAYNE,1
GA,WHITFIELD,16
GA,WILKINSON,2
GA,WORTH,1
GU, NOT DEFINED ,6
GU,GUAM,31
HI, NOT DEFINED ,4
HI,HAWAII,11
HI,HONOLULU,68
HI,KALAWAO,1
HI,KAUAI,7
HI,MAUI,6
IA, NOT DEFINED ,14
IA,APPANOOSE,1
IA,BLACK HAWK,2
IA,BREMER,1
IA,BUENA VISTA,1
IA,CASS,2
IA,CEDAR,1
IA,CERRO GORDO,5
IA,CLINTON,5
IA,DES MOINES,2
IA,DICKINSON,1
IA,DUBUQUE,3
IA,FLOYD,3
IA,FREMONT,1
IA,GREENE,2
IA,IOWA,1
IA,JACKSON,1
IA,JASPER,2
IA,JEFFERSON,1
IA,JOHNSON,5
IA,LEE,5
IA,LINN,4
IA,MAHASKA,1
IA,MARSHALL,2
IA,MILLS,1
IA,MONTGOMERY,2
IA,OSCEOLA,1
IA,PAGE,1
IA,PALO ALTO,1
IA,PLYMOUTH,3
IA,POLK,18
IA,POTTAWATTAMIE,2
IA,POWESHIEK,1
IA,SAC,2
IA,SCOTT,5
IA,SIOUX,2
IA,STORY,8
IA,WAPELLO,3
IA,WASHINGTON,1
IA,WEBSTER,2
IA,WOODBURY,4
ID, NOT DEFINED ,11
ID,ADA,9
ID,ADAMS,1
ID,BANNOCK,11
ID,BEAR LAKE,4
ID,BENEWAH,3
ID,BINGHAM,8
ID,BLAINE,25
ID,BOISE,5
ID,BONNER,8
ID,BONNEVILLE,1
ID,BUTTE,4
ID,CANYON,3
ID,CARIBOU,20
ID,CASSIA,7
ID,CLARK,1
ID,CLEARWATER,7
ID,CUSTER,6
ID,ELMORE,16
ID,FREMONT,2
ID,GEM,2
ID,IDAHO,20
ID,JEFFERSON,3
ID,JEROME,1
ID,KOOTENAI,8
ID,LEMHI,4
ID,LEWIS,1
ID,LINCOLN,1
ID,MINIDOKA,2
ID,NEZ PERCE,2
ID,OWYHEE,12
ID,SHOSHONE,17
ID,TWIN FALLS,7
ID,VALLEY,6
IL, NOT DEFINED ,13
IL,ADAMS,4
IL,ALEXANDER,3
IL,BOONE,9
IL,BUREAU,5
IL,CHAMPAIGN,3
IL,CHRISTIAN,3
IL,CLARK,2
IL,CLINTON,2
IL,COLES,2
IL,COOK,216
IL,CRAWFORD,1
IL,CUMBERLAND,3
IL,DEKALB,3
IL,DUPAGE,21
IL,EDGAR,2
IL,EFFINGHAM,2
IL,FAYETTE,1
IL,FRANKLIN,2
IL,FULTON,3
IL,GRUNDY,2
IL,HARDIN,2
IL,HENRY,1
IL,JACKSON,3
IL,JEFFERSON,4
IL,JO DAVIESS,6
IL,KANE,19
IL,KANKAKEE,5
IL,KENDALL,4
IL,KNOX,5
IL,LA SALLE,23
IL,LAKE,30
IL,LAWRENCE,2
IL,LEE,5
IL,LOGAN,3
IL,MACON,9
IL,MACOUPIN,1
IL,MADISON,17
IL,MARION,6
IL,MARSHALL,1
IL,MASON,5
IL,MASSAC,1
IL,MCDONOUGH,2
IL,MCHENRY,12
IL,MONTGOMERY,4
IL,MORGAN,1
IL,OGLE,3
IL,PEORIA,6
IL,PERRY,1
IL,PULASKI,1
IL,PUTNAM,1
IL,RANDOLPH,1
IL,RICHLAND,1
IL,ROCK ISLAND,10
IL,SANGAMON,6
IL,SHELBY,1
IL,ST CLAIR,43
IL,STEPHENSON,5
IL,TAZEWELL,2
IL,VERMILION,13
IL,WHITE,2
IL,WHITESIDE,6
IL,WILL,27
IL,WILLIAMSON,4
IL,WINNEBAGO,26
IN, NOT DEFINED ,18
IN,ADAMS,2
IN,ALLEN,10
IN,BARTHOLOMEW,6
IN,BLACKFORD,2
IN,BOONE,7
IN,CASS,2
IN,CLARK,4
IN,CLAY,1
IN,CLINTON,11
IN,CRAWFORD,2
IN,DAVIESS,2
IN,DEARBORN,2
IN,DEKALB,1
IN,DELAWARE,14
IN,DUBOIS,2
IN,ELKHART,24
IN,FLOYD,1
IN,FOUNTAIN,1
IN,FRANKLIN,4
IN,FULTON,3
IN,GIBSON,2
IN,GRANT,3
IN,GREENE,2
IN,HAMILTON,2
IN,HANCOCK,1
IN,HARRISON,1
IN,HENDRICKS,2
IN,HENRY,5
IN,HOWARD,16
IN,HUNTINGTON,2
IN,JACKSON,3
IN,JASPER,1
IN,JAY,1
IN,JEFFERSON,2
IN,JOHNSON,2
IN,KNOX,1
IN,KOSCIUSKO,4
IN,LA PORTE,18
IN,LAGRANGE,2
IN,LAKE,50
IN,LAWRENCE,3
IN,MADISON,10
IN,MARION,56
IN,MARSHALL,1
IN,MARTIN,1
IN,MIAMI,3
IN,MONROE,10
IN,MONTGOMERY,6
IN,MORGAN,3
IN,NOBLE,3
IN,OWEN,2
IN,PARKE,1
IN,PERRY,1
IN,PIKE,1
IN,PORTER,10
IN,POSEY,1
IN,PUTNAM,2
IN,RANDOLPH,7
IN,RIPLEY,1
IN,RUSH,2
IN,SHELBY,4
IN,SPENCER,1
IN,ST JOSEPH,21
IN,STARKE,1
IN,STEUBEN,2
IN,SULLIVAN,3
IN,TIPPECANOE,4
IN,TIPTON,1
IN,VANDERBURGH,4
IN,VERMILLION,4
IN,VIGO,16
IN,WABASH,1
IN,WARRICK,1
IN,WAYNE,3
IN,WELLS,2
IN,WHITE,1
IN,WHITLEY,1
KS, NOT DEFINED ,14
KS,ALLEN,3
KS,ATCHISON,1
KS,BARBER,1
KS,BARTON,2
KS,BUTLER,2
KS,CHEROKEE,3
KS,CLOUD,1
KS,COFFEY,1
KS,COWLEY,3
KS,CRAWFORD,4
KS,DICKINSON,2
KS,DOUGLAS,1
KS,ELLIS,8
KS,ELLSWORTH,3
KS,FINNEY,2
KS,FORD,7
KS,GEARY,2
KS,HARVEY,1
KS,JACKSON,2
KS,JEFFERSON,1
KS,JOHNSON,9
KS,KINGMAN,2
KS,LABETTE,1
KS,LEAVENWORTH,3
KS,LINCOLN,1
KS,LYON,1
KS,MCPHERSON,1
KS,MIAMI,1
KS,MONTGOMERY,8
KS,MORRIS,1
KS,NEOSHO,1
KS,OSAGE,1
KS,OTTAWA,2
KS,RENO,6
KS,RICE,1
KS,RILEY,1
KS,RUSH,1
KS,SALINE,16
KS,SCOTT,1
KS,SEDGWICK,10
KS,SHAWNEE,4
KS,SUMNER,1
KS,THOMAS,2
KS,WABAUNSEE,1
KS,WILSON,1
KS,WYANDOTTE,7
KY, NOT DEFINED ,16
KY,ADAIR,4
KY,ANDERSON,1
KY,BALLARD,3
KY,BARREN,2
KY,BELL,2
KY,BOONE,4
KY,BOYD,9
KY,BOYLE,4
KY,BRECKINRIDGE,1
KY,BULLITT,6
KY,CALDWELL,1
KY,CALLOWAY,3
KY,CAMPBELL,2
KY,CARLISLE,1
KY,CARROLL,6
KY,CHRISTIAN,3
KY,CLARK,1
KY,DAVIESS,6
KY,ESTILL,3
KY,FAYETTE,7
KY,FLEMING,2
KY,FLOYD,2
KY,FRANKLIN,1
KY,FULTON,2
KY,GRANT,1
KY,GRAVES,5
KY,GRAYSON,2
KY,GREEN,1
KY,GREENUP,6
KY,HANCOCK,1
KY,HARDIN,8
KY,HARLAN,8
KY,HARRISON,1
KY,HART,3
KY,HENDERSON,3
KY,HENRY,1
KY,HICKMAN,2
KY,JEFFERSON,43
KY,JESSAMINE,2
KY,KENTON,4
KY,KNOTT,1
KY,KNOX,1
KY,LARUE,2
KY,LAUREL,3
KY,LOGAN,3
KY,MADISON,10
KY,MAGOFFIN,1
KY,MARSHALL,12
KY,MARTIN,1
KY,MASON,2
KY,MCCRACKEN,5
KY,MCCREARY,1
KY,MCLEAN,3
KY,MONTGOMERY,1
KY,MUHLENBERG,4
KY,NELSON,2
KY,OHIO,4
KY,OLDHAM,5
KY,PENDLETON,1
KY,PIKE,4
KY,POWELL,1
KY,PULASKI,2
KY,ROCKCASTLE,2
KY,ROWAN,1
KY,SCOTT,2
KY,SHELBY,2
KY,SIMPSON,1
KY,TODD,1
KY,UNION,2
KY,WARREN,9
KY,WEBSTER,1
KY,WHITLEY,2
KY,WOODFORD,3
LA, NOT DEFINED ,19
LA,ACADIA,4
LA,ALLEN,1
LA,ASCENSION,6
LA,ASSUMPTION,1
LA,AVOYELLES,1
LA,BEAUREGARD,3
LA,BOSSIER,4
LA,CADDO,11
LA,CALCASIEU,14
LA,CAMERON,3
LA,CATAHOULA,1
LA,CLAIBORNE,2
LA,CONCORDIA,1
LA,DESOTO,1
LA,EAST BATON ROUGE,16
LA,EAST FELICIANA,1
LA,IBERIA,3
LA,IBERVILLE,5
LA,JEFFERSON,5
LA,JEFFERSON DAVIS,3
LA,LA SALLE,1
LA,LAFAYETTE,2
LA,LAFOURCHE,1
LA,LIVINGSTON,4
LA,ORLEANS,18
LA,RAPIDES,7
LA,RICHLAND,2
LA,ST BERNARD,1
LA,ST CHARLES,4
LA,ST JAMES,2
LA,ST JOHN THE BAPTIST,2
LA,ST LANDRY,2
LA,ST TAMMANY,6
LA,TANGIPAHOA,3
LA,TERREBONNE,2
LA,UNION,2
LA,VERMILION,5
LA,VERNON,1
LA,WASHINGTON,2
LA,WEBSTER,3
LA,WEST BATON ROUGE,6
LA,WINN,2
MA, NOT DEFINED ,20
MA,BARNSTABLE,15
MA,BERKSHIRE,19
MA,BRISTOL,44
MA,DUKES,1
MA,ESSEX,49
MA,FRANKLIN,4
MA,HAMPDEN,18
MA,HAMPSHIRE,11
MA,MIDDLESEX,108
MA,NANTUCKET,1
MA,NORFOLK,35
MA,PLYMOUTH,26
MA,SUFFOLK,18
MA,WORCESTER,54
MD, NOT DEFINED ,6
MD,ALLEGANY,1
MD,ANNE ARUNDEL,14
MD,BALTIMORE,33
MD,BALTIMORE CITY,18
MD,CALVERT,2
MD,CARROLL,3
MD,CECIL,16
MD,CHARLES,7
MD,DORCHESTER,3
MD,FREDERICK,4
MD,HARFORD,12
MD,HOWARD,1
MD,KENT,3
MD,MONTGOMERY,18
MD,PRINCE GEORGE S,21
MD,ST MARY S,3
MD,TALBOT,1
MD,WASHINGTON,5
MD,WICOMICO,3
MD,WORCESTER,1
ME, NOT DEFINED ,14
ME,ANDROSCOGGIN,7
ME,AROOSTOOK,6
ME,CUMBERLAND,20
ME,FRANKLIN,1
ME,HANCOCK,7
ME,KENNEBEC,8
ME,KNOX,4
ME,LINCOLN,2
ME,OXFORD,2
ME,PENOBSCOT,12
ME,PISCATAQUIS,1
ME,SAGADAHOC,4
ME,SOMERSET,2
ME,WALDO,3
ME,WASHINGTON,3
ME,YORK,5
MH,MARSHALL ISLANDS,1
MI, NOT DEFINED ,36
MI,ALCONA,2
MI,ALGER,3
MI,ALLEGAN,8
MI,ALPENA,7
MI,ANTRIM,4
MI,BARAGA,6
MI,BARRY,2
MI,BAY,7
MI,BENZIE,2
MI,BERRIEN,21
MI,BRANCH,4
MI,CALHOUN,26
MI,CASS,3
MI,CHARLEVOIX,3
MI,CHEBOYGAN,4
MI,CHIPPEWA,9
MI,CLARE,1
MI,CLINTON,2
MI,CRAWFORD,1
MI,DELTA,8
MI,DICKINSON,6
MI,EATON,4
MI,EMMET,4
MI,GENESEE,26
MI,GLADWIN,1
MI,GOGEBIC,1
MI,GRAND TRAVERSE,11
MI,GRATIOT,7
MI,HILLSDALE,1
MI,HOUGHTON,22
MI,INGHAM,8
MI,IONIA,3
MI,IOSCO,3
MI,ISABELLA,1
MI,JACKSON,12
MI,KALAMAZOO,17
MI,KENT,22
MI,KEWEENAW,5
MI,LAKE,2
MI,LAPEER,1
MI,LEELANAU,4
MI,LENAWEE,6
MI,LIVINGSTON,11
MI,MACKINAC,1
MI,MACOMB,26
MI,MANISTEE,2
MI,MARQUETTE,6
MI,MASON,4
MI,MENOMINEE,4
MI,MIDLAND,3
MI,MONROE,11
MI,MUSKEGON,20
MI,NEWAYGO,1
MI,OAKLAND,22
MI,OCEANA,1
MI,OGEMAW,1
MI,ONTONAGON,4
MI,OSCEOLA,3
MI,OSCODA,1
MI,OTTAWA,3
MI,PRESQUE ISLE,1
MI,ROSCOMMON,1
MI,SAGINAW,5
MI,SANILAC,1
MI,SCHOOLCRAFT,2
MI,SHIAWASSEE,2
MI,ST CLAIR,6
MI,ST JOSEPH,3
MI,TUSCOLA,1
MI,VAN BUREN,5
MI,WASHTENAW,18
MI,WAYNE,212
MI,WEXFORD,7
MN, NOT DEFINED ,13
MN,AITKIN,2
MN,ANOKA,12
MN,BELTRAMI,2
MN,BENTON,1
MN,BLUE EARTH,1
MN,CARLTON,1
MN,CASS,3
MN,CHIPPEWA,1
MN,COTTONWOOD,1
MN,CROW WING,2
MN,DAKOTA,9
MN,DOUGLAS,2
MN,FREEBORN,1
MN,HENNEPIN,43
MN,HOUSTON,2
MN,HUBBARD,1
MN,ISANTI,2
MN,KANABEC,1
MN,KOOCHICHING,1
MN,LAKE,1
MN,LE SUEUR,1
MN,LYON,1
MN,MARTIN,2
MN,MILLE LACS,1
MN,NOBLES,1
MN,OLMSTED,3
MN,OTTER TAIL,1
MN,PIPESTONE,1
MN,POLK,1
MN,RAMSEY,24
MN,REDWOOD,1
MN,RICE,3
MN,ROCK,1
MN,SCOTT,1
MN,SHERBURNE,1
MN,ST LOUIS,15
MN,STEARNS,4
MN,STEVENS,1
MN,TODD,1
MN,WADENA,1
MN,WASHINGTON,5
MN,WATONWAN,1
MN,WINONA,1
MO, NOT DEFINED ,11
MO,ADAIR,1
MO,ANDREW,2
MO,BENTON,1
MO,BUCHANAN,10
MO,BUTLER,1
MO,CAMDEN,1
MO,CAPE GIRARDEAU,2
MO,CASS,4
MO,CLAY,5
MO,CLINTON,2
MO,COLE,1
MO,COOPER,2
MO,CRAWFORD,1
MO,DADE,1
MO,DOUGLAS,4
MO,DUNKLIN,1
MO,FRANKLIN,8
MO,GASCONADE,1
MO,GREENE,14
MO,IRON,6
MO,JACKSON,30
MO,JASPER,6
MO,JEFFERSON,11
MO,JOHNSON,2
MO,LAWRENCE,5
MO,LEWIS,1
MO,LINCOLN,2
MO,MACON,1
MO,MADISON,2
MO,MARIES,2
MO,MONROE,1
MO,NEWTON,8
MO,PIKE,2
MO,PULASKI,2
MO,RANDOLPH,2
MO,RAY,1
MO,REYNOLDS,6
MO,SALINE,1
MO,SCOTT,2
MO,SHANNON,1
MO,SHELBY,1
MO,ST CHARLES,9
MO,ST FRANCOIS,14
MO,ST LOUIS,36
MO,ST LOUIS CITY,27
MO,TANEY,1
MO,TEXAS,3
MO,VERNON,1
MO,WARREN,1
MO,WASHINGTON,10
MO,WAYNE,2
MO,WEBSTER,3
MO,WRIGHT,1
MP, NOT DEFINED ,6
MP,NORTHERN ISLANDS,1
MP,ROTA,2
MP,SAIPAN,15
MS, NOT DEFINED ,7
MS,ADAMS,1
MS,AMITE,1
MS,BOLIVAR,2
MS,CLAIBORNE,1
MS,CLARKE,1
MS,CLAY,1
MS,COAHOMA,1
MS,COPIAH,2
MS,COVINGTON,1
MS,DESOTO,2
MS,FORREST,8
MS,GREENE,1
MS,GRENADA,2
MS,HANCOCK,6
MS,HARRISON,14
MS,HINDS,9
MS,ISSAQUENA,1
MS,JACKSON,10
MS,JASPER,2
MS,JEFFERSON DAVIS,2
MS,LAMAR,5
MS,LAUDERDALE,3
MS,LEE,3
MS,LEFLORE,1
MS,LINCOLN,2
MS,LOWNDES,6
MS,MADISON,2
MS,MARION,2
MS,MARSHALL,2
MS,MONROE,6
MS,MONTGOMERY,1
MS,PANOLA,4
MS,PEARL RIVER,9
MS,RANKIN,7
MS,SCOTT,1
MS,SIMPSON,1
MS,STONE,2
MS,SUNFLOWER,2
MS,TALLAHATCHIE,1
MS,TATE,1
MS,TUNICA,1
MS,UNION,3
MS,WARREN,6
MS,WASHINGTON,4
MS,WAYNE,2
MS,WEBSTER,1
MS,WINSTON,1
MS,YALOBUSHA,1
MS,YAZOO,2
MT, NOT DEFINED ,10
MT,BEAVERHEAD,4
MT,BIG HORN,3
MT,BLAINE,2
MT,CARBON,1
MT,CASCADE,8
MT,CHOUTEAU,1
MT,CUSTER,1
MT,DEER LODGE,2
MT,FERGUS,2
MT,FLATHEAD,6
MT,GALLATIN,2
MT,GARFIELD,1
MT,GLACIER,5
MT,GRANITE,4
MT,HILL,1
MT,JEFFERSON,10
MT,LAKE,3
MT,LEWIS AND CLARK,14
MT,LINCOLN,5
MT,MADISON,2
MT,MINERAL,2
MT,MISSOULA,8
MT,MUSSELSHELL,2
MT,PARK,4
MT,POWELL,1
MT,RAVALLI,1
MT,ROOSEVELT,2
MT,ROSEBUD,2
MT,SANDERS,2
MT,SILVER BOW,4
MT,STILLWATER,2
MT,VALLEY,3
MT,WHEATLAND,1
MT,YELLOWSTONE,5
NC, NOT DEFINED ,32
NC,ALAMANCE,1
NC,ALLEGHANY,1
NC,ANSON,1
NC,ASHE,2
NC,BEAUFORT,4
NC,BLADEN,4
NC,BRUNSWICK,7
NC,BUNCOMBE,15
NC,BURKE,7
NC,CABARRUS,7
NC,CALDWELL,8
NC,CARTERET,4
NC,CASWELL,1
NC,CATAWBA,13
NC,CHATHAM,1
NC,CHEROKEE,1
NC,CLEVELAND,5
NC,COLUMBUS,10
NC,CRAVEN,9
NC,CUMBERLAND,13
NC,CURRITUCK,1
NC,DARE,3
NC,DAVIDSON,7
NC,DAVIE,2
NC,DUPLIN,6
NC,DURHAM,19
NC,EDGECOMBE,5
NC,FORSYTH,11
NC,FRANKLIN,1
