county_fips,name,population,median_income,median_age,median_home_value,pct_poverty,pct_black,pct_hispanic,pct_renter
01099,"Monroe County, Alabama",19816,39965,43.7,109300,22.86,42.31,0.22,27.58
01101,"Montgomery County, Alabama",228132,56707,36.9,151300,19.56,59.07,3.77,42.77
01103,"Morgan County, Alabama",123102,61588,40.6,174800,13.72,13.51,8.81,27.25
01105,"Perry County, Alabama",8479,32332,41.8,81700,32.83,70.81,0.97,29.85
01107,"Pickens County, Alabama",18925,45339,42.9,119800,22.33,39.66,5.22,25.84
01109,"Pike County, Alabama",32997,42616,31.1,144500,23.64,37.28,2.42,36.97
01111,"Randolph County, Alabama",22179,49879,44.1,155000,19.86,18.95,3.02,20.76
01113,"Russell County, Alabama",58849,47420,37.2,141900,22.03,44.88,5.86,38.83
01115,"St. Clair County, Alabama",91719,73218,41.0,202000,10.92,9.8,2.53,18.26
01117,"Shelby County, Alabama",223916,90618,40.0,276500,6.85,13.0,5.89,19.06
01119,"Sumter County, Alabama",12196,31726,35.8,88000,30.37,72.26,0.7,30.72
01121,"Talladega County, Alabama",81105,52457,42.1,131900,18.69,31.93,2.46,28.07
01123,"Tallapoosa County, Alabama",41251,53282,45.2,127100,16.84,26.56,2.45,24.51
01125,"Tuscaloosa County, Alabama",231558,61645,32.8,218800,16.69,32.05,4.0,37.7
01127,"Walker County, Alabama",64978,52987,41.8,124100,16.41,5.99,2.87,22.52
01129,"Washington County, Alabama",15434,51184,43.7,138100,15.8,23.38,1.69,11.59
01131,"Wilcox County, Alabama",10441,38208,41.1,83200,26.76,70.18,0.21,20.54
01133,"Winston County, Alabama",23655,49494,45.4,111600,18.2,1.11,3.25,21.76
02013,"Aleutians East Borough, Alaska",3407,79961,41.6,164100,12.64,5.37,11.89,41.16
02016,"Aleutians West Census Area, Alaska",5219,100662,39.2,377100,9.58,3.85,15.37,72.34
02020,"Anchorage Municipality, Alaska",290674,95731,34.5,363800,9.64,5.32,9.69,36.2
02050,"Bethel Census Area, Alaska",18538,64094,28.7,120600,25.26,1.16,2.15,41.01
02060,"Bristol Bay Borough, Alaska",854,94167,36.4,253400,7.89,0.35,8.67,49.3
02063,"Chugach Census Area, Alaska",7000,83068,37.8,287900,4.93,1.61,5.91,37.39
02066,"Copper River Census Area, Alaska",2614,70606,43.1,235100,11.25,0.04,6.54,31.19
02068,"Denali Borough, Alaska",2101,87292,44.4,227000,7.31,2.28,1.67,13.14
02070,"Dillingham Census Area, Alaska",4854,69412,30.7,167700,15.89,1.57,3.34,39.23
02090,"Fairbanks North Star Borough, Alaska",96299,81655,32.1,276800,6.88,4.13,8.35,40.0
02100,"Haines Borough, Alaska",2079,68276,46.2,289200,5.84,0.0,8.18,30.28
02105,"Hoonah-Angoon Census Area, Alaska",2329,62344,50.0,243800,11.55,0.39,9.88,25.49
02110,"Juneau City and Borough, Alaska",32108,95711,39.0,404600,6.9,1.07,7.16,35.74
02122,"Kenai Peninsula Borough, Alaska",59235,76272,41.2,280900,12.55,0.72,4.43,23.24
02130,"Ketchikan Gateway Borough, Alaska",13910,82763,40.6,361000,9.68,0.65,5.64,34.34
02150,"Kodiak Island Borough, Alaska",13065,91138,35.1,355000,8.04,0.92,8.8,43.37
02158,"Kusilvak Census Area, Alaska",8372,42663,23.7,82200,34.26,0.84,0.91,29.08
02164,"Lake and Peninsula Borough, Alaska",999,61607,33.6,167000,15.18,2.2,0.1,32.82
02170,"Matanuska-Susitna Borough, Alaska",108661,86435,36.3,296900,10.22,1.28,5.59,23.54
02180,"Nome Census Area, Alaska",10018,70121,29.1,181300,21.14,1.03,2.01,37.37
02185,"North Slope Borough, Alaska",10924,83472,36.3,193800,7.94,1.77,3.92,53.32
02188,"Northwest Arctic Borough, Alaska",7682,77647,29.2,147200,18.48,1.24,2.55,39.02
