pwsid,violation_id,facility_id,population_served_count,npm_candidate,pws_activity_code,pws_deactivation_date,primary_source_code,pop_cat_5_code,primacy_agency_code,epa_region,pws_type_code,violation_code,violation_category_code,is_health_based_ind,contaminant_code,compliance_status_code,viol_measure,unit_of_measure,state_mcl,is_major_viol_ind,severity_ind_cnt,compl_per_begin_date,compl_per_end_date,latest_enforcement_id,rtc_enforcement_id,rtc_date,public_notification_tier,originator_code,sample_result_id,corrective_action_id,rule_code,rule_group_code,rule_family_code
AK2110619,177780,,1613,N,N,2016-08-04 00:00:00,SW,2,AK,10,CWS,3,MR,N,1030,I,0.0,,0.0,,,1979-10-01 00:00:00,1979-10-31 00:00:00,,,2016-08-04 00:00:00,3,S,,,500,500,500
AK2110821,1060094,1.0,21,N,N,2016-01-07 00:00:00,GW,1,AK,10,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1991-01-01 00:00:00,1993-12-31 00:00:00,,,2016-01-07 00:00:00,3,S,,,500,500,500
AK2110821,162580,,21,N,N,2016-01-07 00:00:00,GW,1,AK,10,CWS,3,MR,N,1030,I,0.0,,0.0,,,1979-10-01 00:00:00,1979-10-31 00:00:00,,,2016-01-07 00:00:00,3,S,,,500,500,500
AK2130075,1223095,1.0,9448,N,A,,SW,3,AK,10,CWS,3,MR,N,1030,R,0.0,,0.0,Y,,1994-01-01 00:00:00,1994-12-31 00:00:00,1132582.0,1132582.0,2016-04-08 00:00:00,3,S,,,500,500,500
AK2210396,2445489,,75,N,I,2020-10-08 00:00:00,SWP,1,AK,10,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1986-06-30 00:00:00,1989-06-30 00:00:00,2106692.0,,2020-10-08 00:00:00,3,S,,,500,500,500
AK2210401,163180,,350,N,N,2025-11-21 00:00:00,GWP,1,AK,10,CWS,3,MR,N,1030,I,0.0,,0.0,,,1979-10-01 00:00:00,1979-10-31 00:00:00,,,2025-11-21 00:00:00,3,S,,,500,500,500
AK2210566,163480,,0,N,N,2023-01-20 00:00:00,GW,1,AK,10,CWS,3,MR,N,1030,I,0.0,,0.0,,,1979-10-01 00:00:00,1979-10-31 00:00:00,,,2023-01-20 00:00:00,3,S,,,500,500,500
AK2210786,5198291,,24,N,N,2019-07-24 00:00:00,GW,1,AK,10,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1988-09-01 00:00:00,1991-08-31 00:00:00,2000193.0,,2019-07-24 00:00:00,3,S,,,500,500,500
AK2211025,164180,,17,N,I,2019-10-08 00:00:00,GW,1,AK,10,CWS,3,MR,N,1030,I,0.0,,0.0,,,1979-10-01 00:00:00,1979-10-31 00:00:00,,,2019-10-08 00:00:00,3,S,,,500,500,500
AK2211025,4614490,,17,N,I,2019-10-08 00:00:00,GW,1,AK,10,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1987-03-28 00:00:00,1990-03-31 00:00:00,2068892.0,,2019-10-08 00:00:00,3,S,,,500,500,500
AK2211481,2383689,,0,N,N,2017-05-08 00:00:00,GW,1,AK,10,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1986-06-30 00:00:00,1989-06-30 00:00:00,,,2017-05-08 00:00:00,3,S,,,500,500,500
AK2211821,166080,,17,N,N,2018-08-17 00:00:00,GW,1,AK,10,CWS,3,MR,N,1030,I,0.0,,0.0,,,1979-10-01 00:00:00,1979-10-31 00:00:00,,,2018-08-17 00:00:00,3,S,,,500,500,500
AK2211821,2271589,,17,N,N,2018-08-17 00:00:00,GW,1,AK,10,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1986-06-30 00:00:00,1989-06-30 00:00:00,,,2018-08-17 00:00:00,3,S,,,500,500,500
AK2214138,5053690,,95,N,I,2024-04-11 00:00:00,GW,1,AK,10,NTNCWS,3,MR,N,1030,I,0.0,,0.0,Y,,1987-09-30 00:00:00,1990-09-30 00:00:00,,,2024-04-11 00:00:00,3,S,,,500,500,500
AK2216902,4222391,,40,N,I,2018-05-07 00:00:00,GW,1,AK,10,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1988-01-31 00:00:00,1991-01-31 00:00:00,2075492.0,,2018-05-07 00:00:00,3,S,,,500,500,500
AK2220175,17355,47552.0,240,N,I,2022-09-19 00:00:00,GW,1,AK,10,TNCWS,3,MR,N,1030,I,,,,Y,,2012-01-01 00:00:00,2012-12-31 00:00:00,,,2022-09-19 00:00:00,3,S,,,500,500,500
AK2222880,168280,,14,N,N,2016-01-26 00:00:00,GW,1,AK,10,CWS,3,MR,N,1030,I,0.0,,0.0,,,1979-10-01 00:00:00,1979-10-31 00:00:00,,,2016-01-26 00:00:00,3,S,,,500,500,500
AK2225995,5870805,,137,N,A,,GW,1,AK,10,NTNCWS,3,MR,N,1030,R,,,,Y,,2004-01-01 00:00:00,2004-12-31 00:00:00,8210329.0,8210329.0,2025-02-06 00:00:00,3,S,,,500,500,500
AK2240464,6851108,42074.0,281,N,A,,SW,1,AK,10,CWS,3,MR,N,1030,R,,,,Y,,2005-01-01 00:00:00,2007-12-31 00:00:00,8011860.0,8011860.0,2016-06-13 00:00:00,3,S,,,500,500,500
AK2241012,168880,,23,N,N,2024-09-17 00:00:00,GW,1,AK,10,CWS,3,MR,N,1030,I,0.0,,0.0,,,1979-10-01 00:00:00,1979-10-31 00:00:00,,,2024-09-17 00:00:00,3,S,,,500,500,500
AK2241012,2390089,,23,N,N,2024-09-17 00:00:00,GW,1,AK,10,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1986-06-30 00:00:00,1989-06-30 00:00:00,7006692.0,,2024-09-17 00:00:00,3,S,,,500,500,500
AK2241012,5396992,,23,N,N,2024-09-17 00:00:00,GW,1,AK,10,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1989-07-01 00:00:00,1992-06-30 00:00:00,,,2024-09-17 00:00:00,3,S,,,500,500,500
AK2261371,2412592,,766,N,N,2016-03-03 00:00:00,GW,2,AK,10,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1988-10-01 00:00:00,1991-09-30 00:00:00,2098992.0,,2016-03-03 00:00:00,3,S,,,500,500,500
AK2262319,4038491,,330,N,I,2024-08-06 00:00:00,GW,1,AK,10,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1987-10-30 00:00:00,1990-10-31 00:00:00,2122792.0,,2024-08-06 00:00:00,3,S,,,500,500,500
AK2262319,4038491,,330,N,N,2024-09-30 00:00:00,GW,1,AK,10,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1987-10-30 00:00:00,1990-10-31 00:00:00,2122792.0,,2024-09-30 00:00:00,3,S,,,500,500,500
AK2270061,5799892,,75,N,I,2022-12-01 00:00:00,GU,1,AK,10,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1989-04-01 00:00:00,1992-03-31 00:00:00,,,2022-12-01 00:00:00,3,S,,,500,500,500
AK2271083,2319989,,0,N,N,2019-10-03 00:00:00,GW,1,AK,10,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1986-06-30 00:00:00,1989-06-30 00:00:00,2054392.0,,2019-10-03 00:00:00,3,S,,,500,500,500
AK2271334,5655492,,200,N,N,2019-09-30 00:00:00,GW,1,AK,10,NTNCWS,3,MR,N,1030,I,0.0,,0.0,Y,,1989-03-01 00:00:00,1992-02-29 00:00:00,,,2019-09-30 00:00:00,3,S,,,500,500,500
AK2271431,2410789,1.0,435,N,I,2024-10-29 00:00:00,SW,1,AK,10,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1988-06-30 00:00:00,1989-06-30 00:00:00,,,2024-10-29 00:00:00,3,S,,,500,500,500
AK2271431,4548193,1.0,435,N,I,2024-10-29 00:00:00,SW,1,AK,10,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1992-08-01 00:00:00,1993-07-31 00:00:00,3000393.0,,2024-10-29 00:00:00,3,S,,,500,500,500
AK2271431,4939590,1.0,435,N,I,2024-10-29 00:00:00,SW,1,AK,10,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1989-07-30 00:00:00,1990-07-31 00:00:00,,,2024-10-29 00:00:00,3,S,,,500,500,500
AK2271431,5075292,1.0,435,N,I,2024-10-29 00:00:00,SW,1,AK,10,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1991-08-01 00:00:00,1992-07-31 00:00:00,3000393.0,,2024-10-29 00:00:00,3,S,,,500,500,500
AK2271431,5175591,1.0,435,N,I,2024-10-29 00:00:00,SW,1,AK,10,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1990-08-01 00:00:00,1991-07-31 00:00:00,2051392.0,,2024-10-29 00:00:00,3,S,,,500,500,500
AK2291253,4122191,,16,N,N,2016-02-01 00:00:00,GW,1,AK,10,TNCWS,3,MR,N,1030,I,0.0,,0.0,Y,,1987-11-30 00:00:00,1990-11-30 00:00:00,,,2016-02-01 00:00:00,3,S,,,500,500,500
AK2313225,3399492,,43,N,I,2020-07-27 00:00:00,GW,1,AK,10,TNCWS,3,MR,N,1030,I,0.0,,0.0,Y,,1989-04-01 00:00:00,1992-03-31 00:00:00,3067592.0,,2020-07-27 00:00:00,3,S,,,500,500,500
